question,context,answer
"Khách sạn có cung cấp dịch vụ giặt là không?","Chúng tôi cung cấp dịch vụ giặt là, bao gồm giặt ủi thông thường và giặt hấp, để đảm bảo bạn luôn có trang phục sạch sẽ.","Có"
"Tôi có thể giặt quần áo tại khách sạn không?","Bạn có thể yêu cầu dịch vụ giặt là qua quầy lễ tân hoặc thông qua hệ thống đặt dịch vụ trong phòng.","Có"
"Làm thế nào để yêu cầu dịch vụ giặt hấp ở khách sạn?","Khách sạn cung cấp dịch vụ giặt là, và bạn chỉ cần báo với nhân viên để được hỗ trợ.","Báo với nhân viên"
"Chính sách hoàn tiền của khách sạn khi hủy phòng là gì?","Chính sách hoàn tiền được áp dụng nếu bạn hủy phòng trước thời hạn. Vui lòng kiểm tra chi tiết trong điều khoản khi đặt phòng.","Hủy phòng trước thời hạn"
"Tôi có được hoàn tiền khi hủy đặt phòng không?","Bạn sẽ được hoàn tiền khi hủy phòng trước thời gian quy định. Liên hệ với lễ tân để biết thêm thông tin.","Có"
"Hủy phòng trước ngày lưu trú có được hoàn lại tiền không?","Hủy đặt phòng trước thời hạn sẽ được hoàn tiền theo chính sách của khách sạn.","Có"
"Làm thế nào để nhận hoàn tiền khi hủy phòng?","Vui lòng liên hệ với lễ tân để tiến hành hoàn tiền theo chính sách khách sạn.","Liên hệ với lễ tân"
"Điều kiện nào áp dụng để tôi được hoàn tiền khi hủy phòng?","Điều kiện hoàn tiền áp dụng khi bạn hủy phòng trước thời gian quy định trong điều khoản đặt phòng.","Hủy phòng trước thời gian quy định"
"Thông tin chi tiết về phòng 1","Room: Phòng Deluxe, Type: Deluxe, Price: 150, Description: Phòng sang trọng với view biển, Location: Quận 1, Hồ Chí Minh.","Phòng Deluxe"
"Thông tin chi tiết về phòng 2","Room: Phòng Standard, Type: Standard, Price: 100, Description: Phòng tiêu chuẩn, gần trung tâm thành phố, Location: Quận 3, Hồ Chí Minh.","Phòng Standard"
"Thông tin chi tiết về phòng 3","Room: Phòng Superior, Type: Superior, Price: 120, Description: Phòng Superior rộng rãi, có ban công nhỏ nhìn ra phố, Location: Quận 1, Hồ Chí Minh.","Phòng Superior"
"Thông tin chi tiết về phòng 4","Room: Phòng Gia đình, Type: Family, Price: 180, Description: Phòng gia đình rộng rãi, có 2 giường đơn và 1 giường đôi, phù hợp cho gia đình, Location: Quận 5, Hồ Chí Minh.","Phòng Gia đình"
"Thông tin chi tiết về phòng 5","Room: Phòng Deluxe view hồ bơi, Type: Deluxe, Price: 180, Description: Phòng Deluxe sang trọng với ban công riêng, view hồ bơi, Location: Quận 2, Hồ Chí Minh.","Phòng Deluxe view hồ bơi"
"Thông tin chi tiết về phòng 6","Room: Phòng Standard, Type: Standard, Price: 90, Description: Phòng tiêu chuẩn, nhỏ gọn, giá cả phải chăng, Location: Quận 3, Hồ Chí Minh.","Phòng Standard"
"Thông tin chi tiết về phòng 7","Room: Phòng Executive, Type: Executive, Price: 200, Description: Phòng Executive với không gian làm việc riêng biệt, phù hợp cho khách đi công tác, Location: Quận 1, Hồ Chí Minh.","Phòng Executive"
